iter	Passed	Remaining
1367	259501	119886
1368	259742	119720
1369	259940	119534
1370	260161	119359
1371	260404	119193
1372	260624	119018
1373	260867	118852
1374	261062	118664
1375	261260	118478
1376	261466	118296
1377	261672	118113
1378	261875	117929
1379	262072	117742
1380	262266	117554
1381	262461	117366
1382	262654	117178
1383	262833	116983
1384	263022	116793
1385	263261	116625
1386	263491	116452
1387	263701	116271
1388	264057	116154
1389	264356	116012
1390	264627	115857
1391	264879	115694
1392	265109	115521
1393	265317	115338
1394	265501	115145
1395	265693	114956
1396	265877	114762
1397	266080	114578
1398	266292	114397
1399	266557	114238
1400	266761	114054
1401	266952	113864
1402	267159	113680
1403	267372	113500
1404	267576	113315
1405	267801	113139
1406	268030	112965
1407	268285	112801
1408	268535	112636
1409	268895	112516
1410	269196	112371
1411	269554	112250
1412	269870	112111
1413	270110	111941
1414	270378	111782
1415	270614	111609
1416	270870	111444
1417	271120	111278
1418	271328	111093
1419	271562	110919
1420	271781	110739
1421	272019	110567
1422	272295	110410
1423	272532	110237
1424	272786	110071
1425	273148	109949
1426	273541	109838
1427	273844	109691
1428	274177	109555
1429	274440	109392
1430	274728	109238
1431	274962	109063
1432	275251	108909
1433	275549	108759
1434	275786	108584
1435	276006	108403
1436	276251	108232
1437	276490	108058
1438	276746	107890
1439	276974	107712
1440	277189	107528
1441	277382	107336
1442	277605	107156
1443	277827	106975
1444	278041	106791
1445	278358	106646
1446	278544	106451
1447	278776	106274
1448	278999	106093
1449	279186	105898
1450	279374	105704
1451	279702	105562
1452	280029	105420
1453	280319	105264
1454	280599	105104
1455	280809	104917
1456	281012	104728
1457	281207	104536
1458	281417	104350
1459	281634	104166
1460	281878	103992
1461	282084	103804
1462	282287	103614
1463	282491	103425
1464	282696	103237
1465	282922	103056
1466	283126	102867
1467	283339	102681
1468	283587	102508
1469	283813	102327
1470	284039	102146
1471	284290	101973
1472	284504	101787
1473	284727	101605
1474	284943	101420
1475	285173	101240
1476	285383	101053
1477	285596	100867
1478	285817	100683
1479	286138	100535
1480	286574	100426
1481	286886	100274
1482	287111	100091
1483	287322	99904
1484	287517	99711
1485	287717	99519
1486	287938	99335
1487	288142	99145
1488	288382	98968
1489	288609	98785
1490	288876	98617
1491	289082	98427
1492	289268	98231
1493	289491	98047
1494	289723	97866
1495	289947	97682
1496	290144	97490
1497	290342	97297
1498	290541	97105
1499	290749	96916
1500	290947	96724
1501	291154	96534
1502	291412	96361
1503	291646	96181
1504	291841	95987
1505	292026	95791
1506	292219	95596
1507	292422	95405
1508	292618	95212
1509	292909	95050
1510	293113	94859
1511	293332	94673
1512	293617	94508
1513	293958	94361
1514	294299	94214
1515	294549	94038
1516	294774	93853
1517	295002	93670
1518	295201	93477
1519	295408	93287
1520	295615	93096
1521	295833	92909
1522	296071	92729
1523	296293	92542
1524	296520	92358
1525	296710	92163
1526	296904	91968
1527	297109	91777
1528	297331	91591
1529	297592	91417
1530	297800	91226
1531	298029	91042
1532	298252	90857
1533	298464	90667
1534	298675	90478
1535	298898	90292
1536	299110	90102
1537	299333	89916
1538	299651	89759
1539	300030	89619
1540	300282	89441
1541	300537	89264
1542	300784	89085
1543	301005	88898
1544	301232	88712
1545	301496	88537
1546	301691	88342
1547	301894	88150
1548	302101	87958
1549	302327	87772
1550	302558	87587
1551	302784	87401
1552	303009	87215
1553	303222	87025
1554	303437	86835
1555	303672	86651
1556	303901	86466
1557	304113	86276
1558	304312	86081
1559	304516	85889
1560	304728	85698
1561	304923	85503
1562	305146	85316
1563	305361	85126
1564	305585	84939
1565	305786	84745
1566	305968	84546
1567	306147	84346
1568	306389	84164
1569	306759	84016
1570	307072	83853
1571	307312	83670
1572	307557	83488
1573	307746	83291
1574	307987	83107
1575	308202	82917
1576	308415	82726
1577	308651	82541
1578	308862	82350
1579	309109	82168
1580	309294	81969
1581	309491	81774
1582	309675	81575
1583	309865	81378
1584	310084	81189
1585	310327	81005
1586	310529	80812
1587	310710	80612
1588	310926	80422
1589	311118	80225
1590	311317	80030
1591	311604	79858
1592	311810	79665
1593	312016	79472
1594	312235	79282
1595	312424	79084
1596	312616	78888
1597	312810	78692
1598	313013	78497
1599	313260	78315
1600	313505	78131
1601	313711	77938
1602	313914	77744
1603	314106	77547
1604	314725	77455
1605	315008	77280
1606	315246	77095
1607	315502	76913
1608	315723	76723
1609	315915	76526
1610	316124	76333
1611	316320	76136
1612	316545	75947
1613	316782	75760
1614	316994	75568
1615	317207	75375
1616	317399	75178
1617	317613	74986
1618	317913	74814
1619	318133	74623
1620	318341	74430
1621	318554	74237
1622	318733	74037
1623	318930	73841
1624	319114	73641
1625	319308	73444
1626	319510	73249
1627	319719	73056
1628	319906	72857
1629	320117	72664
1630	320321	72469
1631	320501	72269
1632	320697	72073
1633	320881	71874
1634	321116	71686
1635	321324	71492
1636	321748	71346
1637	322156	71196
1638	322508	71034
1639	322767	70851
1640	323035	70670
1641	323254	70478
1642	323532	70298
1643	323733	70102
1644	323939	69907
1645	324158	69715
1646	324360	69519
1647	324569	69325
1648	324753	69125
1649	324952	68929
1650	325137	68729
1651	325323	68530
1652	325511	68331
1653	325727	68138
1654	325935	67944
1655	326132	67747
1656	326315	67547
1657	326513	67350
1658	326759	67163
